Papel,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,Liq.2meses,Pat.Liq,Div.Brut/Pat.,Cresc.5anos
QUAL3,280.0,-391743.0,58.0,429.0,283.0,173.0,679.0,167.0,-44.0,455.0,234.0,2565.0,42.0,109.0,1395.0,-1.0,1702380000.0,137947000000.0,163.0,-75.0
GNDI3,6695.0,-358482.0,584.0,3423.0,239.0,2378.0,7965.0,8705.0,-621.0,9113.0,5088.0,393.0,-9.0,117.0,309.0,-16.0,0.0,711608000000.0,53.0,2523.0
MEGA3,1012.0,-88899.0,127.0,2441.0,0.0,367.0,-497.0,1058.0,-62.0,2455.0,1426.0,2306.0,-16.0,61.0,366.0,-14.0,817341000.0,495498000000.0,183.0,10074.0
TELB3,1675.0,-40862.0,86.0,3707.0,0.0,357.0,108.0,-470.0,-190.0,-125.0,-620.0,-7890.0,-91.0,570.0,-1109.0,-21.0,5735470.0,167668000000.0,8.0,7655.0
TELB4,1249.0,-30470.0,64.0,2764.0,0.0,266.0,81.0,-350.0,-141.0,-5.0,-27.0,-7890.0,-91.0,570.0,-1109.0,-21.0,9535280.0,167668000000.0,8.0,7655.0
DMMO3,176.0,-25865.0,-172.0,2854.0,0.0,3346.0,1190.0,637.0,-137.0,590.0,542.0,4481.0,-110.0,225.0,7039.0,66.0,0.0,-55327500000.0,0.0,-1737.0
LWSA3,629.0,-19616.0,129.0,3062.0,83.0,848.0,634.0,5553.0,1142.0,4091.0,1538.0,551.0,-156.0,148.0,203.0,-66.0,4434580000.0,291377000000.0,3.0,4367.0
MAPT3,3005.0,-17479.0,-445.0,0.0,0.0,35726.0,-552319.0,-20012.0,-396.0,-20012.0,-20012.0,0.0,0.0,0.0,-1797.0,255.0,0.0,-620700000.0,0.0,0.0
CBAV3,467.0,-12788.0,54.0,358.0,943.0,205.0,94.0,4694.0,-99.0,9108.0,862.0,76.0,77.0,220.0,53.0,-42.0,2234230000.0,517611000000.0,77.0,-1667.0
BAUH4,7000.0,-9564.0,381.0,1741.0,173.0,2259.0,2991.0,4715.0,5098.0,4485.0,2681.0,369.0,-182.0,120.0,760.0,-398.0,962289.0,9601500000.0,10.0,327.0
LINX3,3740.0,-9095.0,438.0,7885.0,152.0,2745.0,1196.0,5317.0,4706.0,5149.0,2297.0,1483.0,-867.0,214.0,682.0,-481.0,0.0,161901000000.0,22.0,1554.0
MERC3,1528.0,-7653.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-145.0,0.0,24868300000.0,0.0,-2116.0
MYPK3,1417.0,-7579.0,58.0,134.0,353.0,152.0,94.0,331.0,-80.0,898.0,519.0,405.0,48.0,145.0,673.0,-76.0,1958130000.0,378615000000.0,164.0,1714.0
CLSA3,443.0,-7205.0,114.0,1564.0,0.0,930.0,180.0,-1734.0,188.0,-901.0,-4845.0,-902.0,-217.0,415.0,-1151.0,-159.0,232661000.0,72734500000.0,6.0,1187.0
MNPR3,1571.0,-7192.0,-34.0,291.0,0.0,346.0,-30.0,169.0,-24.0,169.0,148.0,1719.0,-40.0,33.0,2157.0,47.0,9856200.0,-32721300000.0,0.0,1669.0
MAPT4,1100.0,-6398.0,-163.0,0.0,0.0,13078.0,-202180.0,-7325.0,-145.0,-7325.0,-7325.0,0.0,0.0,0.0,-1797.0,255.0,6109.0,-620700000.0,0.0,0.0
RDNI3,499.0,-6283.0,35.0,351.0,289.0,95.0,75.0,916.0,-23.0,3853.0,3230.0,384.0,110.0,171.0,107.0,-56.0,17466600.0,62211400000.0,118.0,2852.0
MRVE3,1068.0,-6067.0,100.0,872.0,0.0,257.0,106.0,8325.0,-109.0,18754.0,5700.0,105.0,-87.0,206.0,33.0,-164.0,11643600000.0,601899000000.0,135.0,428.0
DOHL3,750.0,-6041.0,81.0,866.0,0.0,589.0,127.0,-3183.0,222.0,-3317.0,62705.0,-272.0,-143.0,703.0,-210.0,-134.0,24984.0,69910400000.0,15.0,1004.0
NINJ3,459.0,-5894.0,83.0,3912.0,0.0,779.0,89.0,-661.0,89.0,102.0,108.0,-5920.0,-664.0,1559.0,-16011.0,-141.0,342342000.0,28021600000.0,0.0,-210.0
CBEE3,1370.0,-5784.0,60.0,423.0,0.0,183.0,-156.0,290.0,-37.0,699.0,440.0,1458.0,-73.0,63.0,711.0,-104.0,0.0,549209000000.0,97.0,1045.0
MTIG4,2300.0,-4952.0,-35915.0,56001.0,0.0,36906.0,-5093.0,-9431.0,-4400.0,-9557.0,-10460.0,-5938.0,-11309.0,27.0,-4780.0,72528.0,0.0,-783538000.0,-495.0,-2654.0
DOHL4,563.0,-4535.0,61.0,650.0,0.0,442.0,95.0,-2389.0,167.0,-2524.0,47705.0,-272.0,-143.0,703.0,-210.0,-134.0,1385750.0,69910400000.0,15.0,1004.0
HAPV3,428.0,-4113.0,65.0,1223.0,0.0,430.0,2645.0,-7888.0,-195.0,-9318.0,1977.0,-155.0,-297.0,115.0,-59.0,-159.0,34130400000.0,4933300000000.0,23.0,5159.0
MERC4,788.0,-3947.0,57.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-145.0,153357.0,24868300000.0,0.0,-2116.0
OMGE3,2757.0,-3203.0,159.0,3419.0,0.0,543.0,1086.0,1256.0,-106.0,2434.0,1309.0,2723.0,-1112.0,172.0,469.0,-495.0,0.0,348357000000.0,166.0,3873.0
GUAR3,547.0,-3119.0,54.0,320.0,37.0,193.0,76.0,1019.0,145360.0,1655.0,503.0,314.0,-103.0,165.0,242.0,-173.0,1095020000.0,506222000000.0,76.0,479.0
CSAN3,1797.0,-2914.0,188.0,804.0,238.0,249.0,304.0,515.0,-55.0,1195.0,807.0,1562.0,317.0,165.0,566.0,-645.0,11387100000.0,1792930000000.0,336.0,3976.0
