"Código","Nome","Volume","Última (R$)","Variação"
"MGLU3","Magazine Luiza","132.868.700","2,24","-4,68%"
"BRFS3","BRF","53.356.300","9,66","+3,21%"
"HAPV3","Hapvida","51.410.200","4,28","+0,47%"
"BBDC4","Banco Bradesco","39.104.700","14,15","-0,77%"
"PETR4","Petrobras","30.938.700","34,03","+0,80%"
"B3SA3","B3","29.910.400","12,33","-1,28%"
"ANIM3","Ânima Educação","26.073.400","2,69","-12,09%"
"CIEL3","Cielo","23.008.300","3,30","+0,61%"
"CRFB3","Carrefour Brasil","22.828.900","9,15","+2,81%"
"LREN3","Lojas Renner","22.769.800","13,89","-0,43%"
"RAIZ4","Raízen","21.900.600","3,77","+0,80%"
"ITSA4","Itaúsa","20.349.100","9,01","-2,07%"
"TIMS3","TIM","19.524.600","15,08","-0,46%"
"COGN3","Cogna","18.238.800","2,64","+0,00%"
"VALE3","Vale","17.028.700","68,00","+0,74%"
"ITUB4","Itaú Unibanco","16.341.800","26,92","-0,26%"
"ABEV3","Ambev","16.313.800","13,12","-0,91%"
"VAMO3","Grupo Vamos","16.084.400","9,70","-3,96%"
"PETZ3","Petz","16.003.000","4,99","-2,54%"
"SOMA3","Grupo Soma","14.619.900","6,61","-2,94%"
"CPLE6","Copel","13.581.000","9,00","-0,33%"
"RAIL3","Rumo","13.466.700","23,43","-0,21%"
"ASAI3","Assaí","10.781.600","11,46","-2,80%"
"VBBR3","Vibra Energia","10.420.200","18,73","-4,15%"
"CMIN3","CSN Mineração","10.403.900","4,68","+1,30%"
"SEQL3","Sequoia Logística","10.266.100","0,44","-8,33%"
"CVCB3","CVC","10.236.900","2,26","-0,44%"
"AZUL4","Azul","9.386.800","14,39","-1,37%"
"USIM5","Usiminas","9.336.700","6,59","+0,15%"
"PCAR3","Grupo Pão de Açúcar","9.224.200","3,54","-2,48%"
"GOLL4","GOL","9.130.000","6,43","-3,89%"
"RDOR3","Rede D'Or","9.042.800","26,42","-0,30%"
"BBDC3","Banco Bradesco","8.793.200","12,51","+0,08%"
