Papel,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,Liq.2meses,Pat.Liq,Div.Brut/Pat.,Cresc.5anos
QUAL3,289.0,-404335.0,60.0,443.0,274.0,179.0,701.0,173.0,-45.0,461.0,237.0,2565.0,42.0,109.0,1395.0,-1.0,1615970000.0,137947000000.0,163.0,-75.0
GNDI3,6695.0,-358482.0,584.0,3423.0,239.0,2378.0,7965.0,8705.0,-621.0,9113.0,5088.0,393.0,-9.0,117.0,309.0,-16.0,0.0,711608000000.0,53.0,2523.0
MEGA3,975.0,-85649.0,123.0,2352.0,0.0,354.0,-479.0,1020.0,-60.0,2416.0,1403.0,2306.0,-16.0,61.0,366.0,-14.0,808284000.0,495498000000.0,183.0,10074.0
TELB3,1640.0,-40008.0,84.0,3629.0,0.0,349.0,106.0,-460.0,-186.0,-115.0,-571.0,-7890.0,-91.0,570.0,-1109.0,-21.0,5929130.0,167668000000.0,8.0,7655.0
TELB4,1242.0,-30299.0,64.0,2748.0,0.0,264.0,80.0,-348.0,-141.0,-3.0,-17.0,-7890.0,-91.0,570.0,-1109.0,-21.0,9801540.0,167668000000.0,8.0,7655.0
DMMO3,176.0,-25865.0,-172.0,2854.0,0.0,3346.0,1190.0,637.0,-137.0,590.0,542.0,4481.0,-110.0,225.0,7039.0,66.0,0.0,-55327500000.0,0.0,-1737.0
LWSA3,616.0,-19210.0,126.0,2999.0,85.0,831.0,620.0,5438.0,1118.0,3976.0,1495.0,551.0,-156.0,148.0,203.0,-66.0,4198620000.0,291377000000.0,3.0,4367.0
MAPT3,3005.0,-17479.0,-445.0,0.0,0.0,35726.0,-552319.0,-20012.0,-396.0,-20012.0,-20012.0,0.0,0.0,0.0,-1797.0,255.0,0.0,-620700000.0,0.0,0.0
CBAV3,439.0,-12021.0,51.0,336.0,1004.0,192.0,89.0,4412.0,-93.0,8826.0,836.0,76.0,77.0,220.0,53.0,-42.0,2083320000.0,517611000000.0,77.0,-1667.0
BAUH4,7099.0,-9699.0,386.0,1765.0,170.0,2291.0,3033.0,4782.0,5170.0,4552.0,2721.0,369.0,-182.0,120.0,760.0,-398.0,1000760.0,9601500000.0,10.0,327.0
LINX3,3740.0,-9095.0,438.0,7885.0,152.0,2745.0,1196.0,5317.0,4706.0,5149.0,2297.0,1483.0,-867.0,214.0,682.0,-481.0,0.0,161901000000.0,22.0,1554.0
